gene_IDs	gene_names	K_score
YALI0D06325g	YALI0D06325g	4.93643945673551
YALI0D07986g	YALI0D07986g	2.90984763161428
YALI0E18568g	YALI0E18568g	2.4477140907963
YALI0F14729g	YALI0F14729g	2.44771408678087
YALI0E15378g	YALI0E15378g	2.44771408670536
YALI0E07787g	YALI0E07787g	2.44771408562536
YALI0B19382g	YALI0B19382g	2.44771408562458
YALI0B15059g	YALI0B15059g	2.44771408562079
YALI0C05951g	YALI0C05951g	2.44771408560868
YALI0D17864g	YALI0D17864g	2.44771407950751
YALI0D24750g	YALI0D24750g	2.44771407564021
YALI0C11407g	YALI0C11407g	2.44771405523236
YALI0E30591g	YALI0E30591g	2.44771405234229
YALI0F30987g	YALI0F30987g	2.44646940236324
YALI0C00209g	YALI0C00209g	2.27983559946159
YALI0D17534g	YALI0D17534g	2.27983556870909
YALI0F00506g	YALI0F00506g	1.96324287408247
YALI0F09339g	YALI0F09339g	0.570163848835731
YALI0E26004g	YALI0E26004g	0.510863102912503
YALI0A15972g	YALI0A15972g	0.510863102912462
YALI0F30745g	YALI0F30745g	0.504532033396555
YALI0F23221g	YALI0F23221g	0.493533852760838
YALI0F13453g	YALI0F13453g	0.493533852655127
YALI0E14949g	YALI0E14949g	0.490541901434367
YALI0B16038g	YALI0B16038g	0.40402234045878
YALI0F07711g	YALI0F07711g	0.388406961442
YALI0B06941g	YALI0B06941g	0.387555221484667
YALI0E20977g	YALI0E20977g	0.371149113372581
YALI0D06303g	YALI0D06303g	0.362406673608087
YALI0E05137g	YALI0E05137g	0.362406673607629
YALI0D11374g	YALI0D11374g	0.359899789539577
YALI0E29667g	YALI0E29667g	0.359899789537261
YALI0D23397g	YALI0D23397g	0.359899789536307
YALI0A14784g	YALI0A14784g	0.359899789509736
YALI0C06776g	YALI0C06776g	0.339692404867038
YALI0E22649g	YALI0E22649g	0.334075458554714
YALI0E11671g	YALI0E11671g	0.334075458554527
YALI0B15598g	YALI0B15598g	0.334075458554419
YALI0F15587g	YALI0F15587g	0.312629072320909
YALI0F29337g	YALI0F29337g	0.299470645344507
YALI0C11880g	YALI0C11880g	0.296147308196367
YALI0E06479g	YALI0E06479g	0.295493305344611
YALI0E10307g	YALI0E10307g	0.221108120874044
YALI0F17820g	YALI0F17820g	0.12408152747475
YALI0A09856g	YALI0A09856g	-0
YALI0B10340g	YALI0B10340g	0
YALI0C05258g	YALI0C05258g	0
YALI0D04741g	YALI0D04741g	0
YALI0D27016g	YALI0D27016g	0
YALI0E00242g	YALI0E00242g	-0
YALI0E09108g	YALI0E09108g	0
YALI0E11099g	YALI0E11099g	0
YALI0E16929g	YALI0E16929g	-0
YALI0E24013g	YALI0E24013g	0
YALI0E33517g	YALI0E33517g	-0
YALI0F02849g	YALI0F02849g	-0
YALI0F21197g	YALI0F21197g	0
