rxn_IDs	rxnNames	K_score	grRules	rxn_formula
674_REV	L-alanine transaminase (reversible)	4.93643945669207	YALI0D06325g	L-glutamate[m] + pyruvate[m] + 0.092812 prot_Q6CA32[c] => 2-oxoglutarate[m] + L-alanine[m]
336u_EXP_2	diacylglycerol acyltransferase	2.90984747070872	YALI0D07986g	diglyceride_ActiveX VT_ERROR:[lp] + acyl-CoA[lp] + 0.0034567 prot_Q6C9V5[c] => triglyceride_ActiveX VT_ERROR:[lp] + coenzyme A[lp]
102	acetyl-CoA C-acyltransferase (myristoyl-CoA)	2.44771408562536	YALI0E18568g	coenzyme A[pe] + 3-oxopalmitoyl-CoA[pe] + 1.8626 prot_Q05493[c] => acetyl-CoA[pe] + myristoyl-CoA[pe]
105	acetyl-CoA C-acyltransferase (lauroyl-CoA)	2.44771408562536	YALI0E18568g	3-oxotetradecanoyl-CoA[pe] + coenzyme A[pe] + 1.8626 prot_Q05493[c] => acetyl-CoA[pe] + lauroyl-CoA[pe]
123	acyl-CoA oxidase (hexadecanoyl-CoA)	2.44771408562536	YALI0D24750g	palmitoyl-CoA[pe] + oxygen[pe] + 0.27781 prot_O74936[c] => hydrogen peroxide[pe] + hexadec-2-enoyl-CoA[pe]
125	acyl-CoA oxidase (tetradecanoyl-CoA)	2.44771408562536	YALI0D24750g	myristoyl-CoA[pe] + oxygen[pe] + 1.2306 prot_O74936[c] => hydrogen peroxide[pe] + trans-tetradec-2-enoyl-CoA[pe]
2183	stearoyl-CoA desaturase (n-C18:0CoA - n-C18:1CoA), ER membrane	2.44771408562536	YALI0C05951g	stearoyl-CoA[em] + oxygen[em] + NADH[em] + H+_p+1[em] + 7.2744 prot_Q6CCW6[c] => 2 H2O[em] + NAD[em] + oleoyl-CoA[em]
2200	fatty-acid--CoA ligase (dodecanoate), lipid particle	2.44771408562536	YALI0D17864g	ATP[lp] + laurate[lp] + coenzyme A[lp] + 0.82418 prot_Q6C8Q3[c] => AMP[lp] + lauroyl-CoA[lp] + diphosphate[lp]
2201	fatty-acid--CoA ligase (tetradecanoate), lipid particle	2.44771408562536	YALI0D17864g	ATP[lp] + myristate[lp] + coenzyme A[lp] + 0.82418 prot_Q6C8Q3[c] => AMP[lp] + myristoyl-CoA[lp] + diphosphate[lp]
2250	2-enoyl-CoA hydratase (3-hydroxytetradecanoyl-CoA)	2.44771408562536	YALI0E15378g	trans-tetradec-2-enoyl-CoA[pe] + H2O[pe] + 2.132 prot_F2Z6I5[c] => (R)-3-hydroxytetradecanoyl-CoA_ActiveX VT_ERROR:[pe]
2251	2-enoyl-CoA hydratase (3-hydroxyhexadecanoyl-CoA)	2.44771408562536	YALI0E15378g	hexadec-2-enoyl-CoA[pe] + H2O[pe] + 2.1882 prot_F2Z6I5[c] => (R)-3-hydroxypalmitoyl-CoA[pe]
2268	3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)	2.44771408562536	YALI0E15378g	NAD[pe] + (R)-3-hydroxypalmitoyl-CoA[pe] + 2.3538 prot_F2Z6I5[c] => H+_p+1[pe] + NADH[pe] + 3-oxopalmitoyl-CoA[pe]
256_EXP_3	catalase	2.44771408562536	YALI0F30987g	2 hydrogen peroxide[pe] + 1.8242e-05 prot_Q6BZT7[c] => oxygen[pe] + 2 H2O[pe]
57	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	2.44771408562536	YALI0E15378g	(R)-3-hydroxytetradecanoyl-CoA_ActiveX VT_ERROR:[pe] + NAD[pe] + 0.37539 prot_F2Z6I5[c] => 3-oxotetradecanoyl-CoA[pe] + H+_p+1[pe] + NADH[pe]
845	peroxisomal acyl-CoA thioesterase	2.44771408562536	YALI0F14729g	lauroyl-CoA[pe] + H2O[pe] + 3.149 prot_Q6C1N6[c] => H+_p+1[pe] + coenzyme A[pe] + laurate[pe]
848	peroxisomal acyl-CoA thioesterase	2.44771408562536	YALI0F14729g	myristoyl-CoA[pe] + H2O[pe] + 3.4223 prot_Q6C1N6[c] => H+_p+1[pe] + coenzyme A[pe] + myristate[pe]
yli0009_EXP_3	oleoyl-CoA desaturase (n-C18:1CoA - n-C18:2CoA), ER membrane	2.44771408562536	YALI0E07787g	oxygen[em] + NADH[em] + oleoyl-CoA[em] + H+_p+1[em] => 2 H2O[em] + NAD[em] + linoleoyl-CoA[em]
2141	fatty-acyl-CoA synthase (n-C18:0CoA)	2.44771408562536	YALI0B15059g and YALI0B19382g	24 H+_p+1[c] + 8 malonyl-CoA[c] + 16 NADPH[c] + acetyl-CoA[c] + 6.4235 prot_P34229[c] + 5.5949 prot_Q6CE16[c] => stearoyl-CoA[c] + 8 H2O[c] + 16 NADP(+)[c] + 8 coenzyme A[c] + 8 carbon dioxide[c]
109	acetyl-CoA carboxylase	2.44771408562536	YALI0C11407g and YALI0E30591g	ATP[c] + bicarbonate[c] + acetyl-CoA[c] + 5.193e-05 prot_Q6C416[c] + 0.00019376 prot_Q6CC91[c] => H+_p+1[c] + ADP[c] + malonyl-CoA[c] + phosphate[c]
