uniprotID_taxid	Standard_1
O59949	2.168853
Q6C4I7	0.253625
Q6C4I6	0.198221
A0A1H6PIX6	0.359206
Q6CCU7	0.669301
A0A1H6PTJ1	1.090784
A0A371C6L4	0.709106
A0A1D8NQ53	0.297037
A0A1D8NNW8	0.517017
Q6CFT7	0.662223
Q6C2R9	0.805947
A0A1D8NDR0	0.711565
A0A1D8NDR0	0.516474
A0A1D8NBR6	0.347623
Q6C326	0.519879
A0A1D8NNG3	0.841152
A0A1D8NE49	0.524905
Q6C1F3	0.454234
A0A1D8NM53	0.619195
A0A1D8NFQ0	0.298798
A0A1D8N359	0.690536
A0A1D8N4A7	0.634137
A0A1H6Q4I0	0.452302
A0A1D8NA15	0.448707
A0A1H6Q5E4	0.547914
A0A1D8NMV4	0.562701
F2Z5Z3	0.544434
A0A1H6PNI1	0.153707
A0A1D8NPU8	0.483305
A0A1D8NAB6	0.402548
A0A371C6S7	0.293228
A0A1D8NDR0	0.334498
A0A371C3K4	0.332020
A0A1D8N7R3	0.633105
A0A1D8N7Z3	0.260174
A0A1D8NLA0	0.640608
A0A1D8NEV0	0.206640
P30614	0.267466
A0A1D8NN48	0.472993
Q6C603	0.430562
A0A1D8NBK3	0.375324
A0A1D8NHI1	0.104002
A0A1D8NMI5	0.488578
A0A1D8NLP6	0.297543
A0A371C5N2	0.409566
A0A1D8NA42	0.378604
A0A371C8V9	0.348772
A0A1D8NJR1	0.314626
Q6CGM0	0.595660
A0A1D8NKM1	0.447485
A0A1H6PRV7	0.135981
A0A1D8NEH4	0.402188
A0A1H6Q0M6	0.410154
A0A1H6Q381	0.328104
A0A1D8NPY0	0.350342
A0A1D8NAC0	0.379827
Q8TG23	0.169804
A0A1D8N7S8	0.366520
A0A1D8NIN3	0.271723
A0A1D8NHD8	0.198095
A0A1D8N5L0	0.354918
A0A1D8N681	0.248014
Q6C2T9	0.167954
A0A1D8NM52	0.381372
Q9UVF3	0.165911
A0A1H6PZN7	0.432667
A0A1D8N7Z4	0.188229
A0A371C0L3	0.284640
A0A1D8NE03	0.128034
Q5F1U5	0.091481
Q9UVF4	0.060255
A0A1H6PI28	0.338810
A0A1H6PJD4	0.360237
A0A1D8NP99	0.288933
A0A1H6PJL0	0.483673
A0A1D8N9V5	0.060888
A0A1H6PRJ8	0.092891
A0A1D8NG46	0.195882
A0A1H6PL18	0.148091
A0A371CDW3	0.285723
A0A1D8NK95	0.269434
A0A1H6PQ81	0.271652
A0A1D8NJ79	0.310545
Q6C169	0.377001
A0A1H6Q9L4	0.194212
A0A371CG25	0.089611
F2Z6F8	0.131293
A0A371C926	0.164802
Q6CFV4	0.117558
F2Z5Z3	0.329387
P29407	0.151328
A0A371C1R9	0.612410
Q6C2E3	0.258542
A0A1H6PNL9	0.349195
A0A1D8NDR0	0.283666
A0A1D8NL87	0.146551
Q6C338	0.153281
Q6C9E6	0.169471
A0A371BXY0	0.342707
Q8TFK3	0.206863
A0A1D8NDR0	0.209358
A0A1D8NDE1	0.173963
A0A371C6H9	0.223761
A0A1D8NH91	0.117426
A0A1D8NKW8	0.277319
A0A1H6Q212	0.275119
A0A1H6QA51	0.277789
A0A1H6Q2I3	0.125207
Q6CBS7	0.310033
A0A1H6Q301	0.163639
A0A1H6Q770	0.255933
Q6C793	0.184514
A0A1D8NFQ0	0.036239
A0A1D8NJI1	0.266376
Q6C8K2	0.149077
A0A1D8NM54	0.303532
O59950	0.184420
A0A371CB66	0.117373
A0A1H6Q943	0.252717
A0A1D8NKG1	0.230953
A0A1H6Q609	0.273958
Q6C4U6	0.246894
A0A1D8NFQ0	0.099910
A0A1D8N728	0.258175
Q6CFD2	0.203921
Q99170	0.204467
A0A1H6PZC4	0.252260
Q6CC79	0.072688
Q6C0C4	0.085600
A0A1D8N8Q0	0.289470
A0A1D8NNG2	0.196189
A0A1D8NEG7	0.210187
A0A371CBJ2	0.183412
A0A1D8N6N0	0.232227
Q6C4U7	0.186878
A0A1D8N7N3	0.190882
A0A1D8N3H9	0.169935
A0A1H6PZ39	0.249118
Q6CDV4	0.196426
A0A1H6PU71	0.162389
A0A1D8NKV7	0.170037
A0A1D8NDY4	0.184069
Q6C0Y0	0.130194
A0A1D8NN49	0.106767
A0A1D8NLM2	0.133744
A0A1D8NLW5	0.139182
A0A1D8NJC6	0.097591
A0A1D8NID5	0.147169
Q6C399	0.080229
A0A1D8NQH2	0.074207
A0A371CF59	0.046248
A0A1H6PI43	0.141639
A0A1D8NC20	0.052969
Q6C9B1	0.098423
A0A1D8N9P6	0.148413
A0A1D8N5J9	0.107647
A0A1H6PWG3	0.151880
A0A1D8NDC6	0.158014
A0A1D8NK63	0.056105
A0A1D8NLC7	0.070603
A0A1D8NGK7	0.159781
A0A1H6Q5H9	0.067453
A0A1D8N8T8	0.359944
A0A1H6PSU4	0.033885
A0A1D8NCB5	0.011157
A0A1D8N7W3	0.189038
A0A1H6Q6V6	0.011312
A0A1D8NJW7	0.148105
A0A1D8NK78	0.119801
A0A1H6PTL3	0.117697
A0A1H6PUB5	0.185823
A0A1D8N8L1	0.060414
A0A1H6PWT4	0.148144
A0A1H6Q943	0.141676
Q6C4G1	0.157999
A0A371C916	0.065736
A0A1D8NF31	0.081622
A0A1D8NAN4	0.119122
A0A1D8NND1	0.108697
P80547	0.065399
A0A1D8N837	0.035436
Q6C482	0.130604
A0A371CE07	0.284248
Q6CDH3	0.135297
A0A1H6PVZ1	0.157797
Q6CFH9	0.083699
A0A1H6PI38	0.142879
A0A1D8NIR2	0.150949
Q9B6D5	0.174539
A0A1H6Q7V2	0.075211
A0A1H6PSE4	0.094488
A0A1H6Q301	0.077469
A0A1D8NDF0	0.089425
A0A1D8N5K2	0.018159
A0A1D8NH61	0.096167
A0A1D8NFQ0	0.021576
A0A371C4P5	0.062265
A0A1H6PX82	0.096901
A0A1D8NGW2	0.107425
A0A1D8NJ57	0.184152
A0A371CCC7	0.078022
A0A1D8N9Z5	0.108950
A0A1D8NL19	0.142055
A0A1D8N716	0.092194
A0A1H6Q759	0.106363
A0A1D8NIA9	0.421704
A0A1D8N653	0.103945
P34229	0.055647
A0A1D8NGU6	0.034143
Q6C105	0.095298
A0A1D8NMF4	0.089237
A0A1D8N6J9	0.034551
A0A371CFI7	0.056845
A0A1D8NAN8	0.064751
A0A371CDF5	0.133294
A0A1H6PI38	0.114422
A0A1D8NFU1	0.129182
A0A1D8N7T5	0.071861
A0A1D8NNV9	0.078292
A0A371CG92	0.157378
A0A371C9J0	0.082642
A0A1D8NJU7	0.068146
F2Z650	0.110178
A0A1H6PZC5	0.085513
A0A1D8NNF1	0.081106
A0A1D8NAG8	0.069035
A0A371C0W9	0.034972
A0A1H6PTR1	0.074926
A0A1D8NMS2	0.146561
A0A1H6PUP2	0.061027
A0A1D8N578	0.078132
A0A1D8NL73	0.092402
Q99148	0.076000
A0A371CER1	0.082456
A0A1D8N7A3	0.040069
Q6C3Z9	0.057431
Q6C4C9	0.110323
A0A1D8N882	0.065861
Q6C2F3	0.079830
A0A1D8N4U7	0.082840
A0A1H6PV56	0.058563
A0A1D8NFS0	0.070886
A0A1D8NFL5	0.094720
A0A1D8N9G0	0.083907
A0A1D8N9Z6	0.085887
A0A1D8NIT4	0.062647
A0A1D8NC04	0.049507
A0A1D8NNP1	0.093054
A0A1D8NNX0	0.041536
A0A1H6PXK2	0.036884
A0A1D8NID2	0.054061
A0A1D8NP21	0.054958
A0A1D8N8F1	0.077947
A0A1D8NCQ1	0.094076
A0A1H6PLS1	0.041009
A0A1D8N9S8	0.059852
A0A371CBM7	0.051233
A0A1D8NG28	0.090138
A0A371C1M7	0.037965
A0A1D8NIG9	0.048855
F2Z6I5	0.058174
A0A1D8NKT1	0.075240
A0A1H6PHR8	0.087898
A0A1D8NFY4	0.071113
A0A1H6PWX2	0.079152
Q6C0Z6	0.040968
A0A1D8NGJ7	0.055792
A0A1H6PXS3	0.057239
A0A371C3W6	0.009477
A0A1D8NIG0	0.027578
B5FVB3	0.037827
A0A1D8NE91	0.071661
A0A1D8NCY1	0.006978
A0A1D8NLR2	0.083584
A0A1D8NA12	0.039232
A0A1H6PWJ8	0.057807
A0A1D8NP43	0.047546
A0A1D8NK99	0.049705
A0A1D8NG05	0.080612
A0A1D8NFS0	0.063692
A0A1H6PLW3	0.023345
P41924	0.046581
A0A1D8NPA5	0.105738
A0A1D8NMS5	0.168304
A0A1H6QBN1	0.060663
A0A1H6PZ95	0.046096
A0A1D8N736	0.036900
A0A1D8NPT2	0.090057
A0A1D8NHR9	0.052627
A0A1D8NIT0	0.044107
F2Z694	0.065936
A0A1D8N5R0	0.078708
A0A1H6PTW0	0.012134
A0A1D8NJY8	0.057026
A0A1D8N7V7	0.085600
A0A1H6Q5Z1	0.022842
Q12726	0.090355
A0A1D8NDP7	0.006873
A0A1D8NHR9	0.071300
A0A1D8NE35	0.042332
A0A1D8NM39	0.022322
Q6CEF3	0.055885
A0A1D8NIN2	0.054174
P38997	0.078733
A0A1H6Q012	0.062292
A0A1H6Q0M8	0.068196
A0A1D8NJK3	0.034513
A0A1D8NM68	0.071750
A0A1D8NQP2	0.017389
A0A1D8NJL6	0.045569
A0A1D8N9J8	0.086336
A0A1H6QCG3	0.033782
A0A371BZT0	0.052945
A0A1D8NGN1	0.133140
A0A1H6PMM5	0.051634
A0A1H6Q518	0.048237
A0A1D8NL84	0.075173
A0A1D8NDM3	0.104868
P41555	0.088708
Q6CES3	0.062992
A0A1H6Q8P3	0.050724
A0A1D8NLW4	0.047640
Q6CHU5	0.010629
A0A1H6PWI1	0.076749
A0A1H6Q3T0	0.046041
F2Z699	0.043058
A0A371BXG7	0.036592
A0A371CAT8	0.058514
A0A1D8NET7	0.044067
A0A1D8N4R1	0.060339
A0A1D8NNL2	0.023512
A0A1H6PQF2	0.064701
Q6C9Q0	0.074616
A0A1D8NN70	0.033095
Q56TU1	0.044837
A0A1D8N6F2	0.108960
A0A1H6PTV1	0.034293
Q6C341	0.193995
A0A1D8NMN9	0.045477
A0A371C5Z4	0.027787
A0A1D8N9M1	0.077003
A0A1D8NCF0	0.081250
A0A1D8NAD4	0.037544
A0A1D8NF82	0.042367
F2Z6F1	0.059741
A0A371CEM9	0.039869
A0A1D8NE45	0.039933
Q6C7C1	0.009921
A0A1H6Q7U4	0.047509
A0A1H6PJM3	0.027642
P41923	0.057933
A0A1H6Q7I4	0.051993
Q6CDH0	0.078617
A0A1D8NJA3	0.008149
A0A1H6PQJ8	0.062557
A0A1H6Q489	0.011460
A0A1H6PT74	0.052192
A0A1H6Q3N4	0.048471
A0A1D8NJ54	0.000698
A0A1H6PLX0	0.037383
A0A1D8NLN6	0.042989
A0A1D8N660	0.019917
A0A1D8NL62	0.051921
A0A1H6Q1M0	0.035325
Q6C662	0.028464
A0A1D8NNQ1	0.005612
A0A1D8NMX5	0.046571
A0A1H6PHI5	0.026909
A0A1H6Q9W6	0.041926
A0A1H6PPA5	0.033716
A0A1D8N8S6	0.052069
A0A1D8N3H5	0.044509
A0A371C9K6	0.027288
A0A1H6PSZ6	0.023809
A0A1H6PYQ2	0.087771
A0A1D8NI27	0.047310
A0A1H6PZL7	0.032435
A0A1H6Q3B3	0.036474
A0A1D8N898	0.026661
A0A1H6PSZ2	0.043158
A0A1D8NKV7	0.044233
Q0ZIE3	0.079003
A0A1H6PSZ5	0.042689
Q6C4D4	0.053918
Q6CB69	0.055988
A0A1D8NJ89	0.057595
Q6CG46	0.049574
Q6C3K7	0.040671
A0A1D8NL07	0.034498
A0A371C455	0.046550
A0A1D8NN08	0.029106
A0A371CE52	0.029987
A0A1H6PQ19	0.039830
Q6C9G8	0.023409
A0A1D8NI67	0.053104
A0A1D8NGY7	0.064330
A0A1D8NCC0	0.007474
A0A1H6PPT3	0.041122
A0A1D8N8V2	0.070559
A0A1D8NQK0	0.074250
A0A1D8NCL5	0.016396
A0A371C6K1	0.047831
