uniprotID_taxid	Standard_1
A0A1H6PXQ5	NaN
A0A1D8N4K2	NaN
A0A1D8NGI9	NaN
A0A1D8NDR9	NaN
A0A1D8NQK1	NaN
A0A1D8N7Q9	NaN
A0A1D8N3L7	NaN
A0A1D8N665	NaN
A0A1D8N665	NaN
A0A1D8NHT4	NaN
A0A1D8NJ86	NaN
A0A1D8N4K2	NaN
A0A1D8NF52	NaN
A0A1H6Q8B4	NaN
A0A1D8NA78	NaN
A0A1D8NMH0	NaN
A0A1D8NAD3	NaN
A0A1H6Q2H4	NaN
A0A1D8NAE3	NaN
A0A1D8NNP0	NaN
A0A371CFS1	NaN
A0A1D8NMU7	NaN
A0A1H6Q3R1	NaN
A0A1H6PUZ3	NaN
A0A1H6PYX8	NaN
A0A371BY51	NaN
A0A1D8NJ54	NaN
A0A1D8NM11	NaN
A0A1H6PW96	NaN
A0A1D8NL66	NaN
A0A1D8N6N9	NaN
A0A1H6PSX4	NaN
Q6CEE9	NaN
A0A1H6PXT6	NaN
A0A1D8NCM3	NaN
A0A1D8NHK1	NaN
A0A1D8NHQ3	NaN
A0A1D8N695	NaN
A0A1D8NH47	NaN
A0A1D8NEI4	NaN
A0A1D8NHE7	NaN
A0A1D8NNQ9	NaN
A0A1D8N644	NaN
A0A1D8N358	NaN
A0A1D8NEY4	NaN
A0A1H6Q0J6	NaN
A0A1H6PYR5	NaN
A0A1D8NKU3	NaN
A0A1D8N911	NaN
A0A1D8N7B4	NaN
A0A1D8NPZ3	NaN
A0A1H6PJP5	NaN
A0A371C0C8	NaN
A0A1D8NP26	NaN
A0A1D8N4K2	NaN
A0A1D8NLI6	NaN
A0A1D8NG00	NaN
A0A1D8NPZ9	NaN
A0A1D8NCN1	NaN
A0A371CFV6	NaN
Q6C0L6	NaN
A0A1D8NFE8	NaN
A0A1D8NF72	NaN
A0A1H6PIN8	NaN
A0A1D8NFB0	NaN
A0A1D8N4K2	NaN
A0A1D8N9M9	NaN
A0A1H6Q680	NaN
A0A1H6Q985	NaN
A0A1D8NPZ2	NaN
F2Z653	NaN
A0A1D8N4K2	NaN
A0A371BX51	NaN
A0A1D8N4K2	NaN
A0A1D8NFV9	NaN
A0A371CFW6	NaN
A0A1H6QBC0	NaN
A0A1D8NGI1	NaN
A0A1H6PX52	NaN
A0A1D8N8T1	NaN
Q6C7D7	NaN
A0A1D8N5S3	NaN
A0A1H6PQ85	NaN
A0A1H6Q8A7	NaN
A0A1D8N999	NaN
A0A1D8NF41	NaN
A0A1H6Q1K0	NaN
A0A1D8NEZ1	NaN
A0A1D8NDB0	NaN
A0A1D8N7U0	NaN
A0A1D8N6R7	NaN
A0A1H6PY93	NaN
A0A1D8NN96	NaN
A0A1H6PIF0	NaN
A0A1D8NJ67	NaN
A0A1D8NFM7	NaN
Q6C8M6	NaN
A0A1D8NMR4	NaN
A0A1D8NJ48	NaN
A0A1H6PZ47	NaN
Q99160	NaN
A0A1D8NNK0	NaN
A0A1D8NDD3	NaN
A0A1H6QBU2	NaN
A0A1D8NBP5	NaN
A0A1H6Q1P5	NaN
A0A1D8NPG2	NaN
A0A1H6PM33	NaN
A0A1D8N8I7	NaN
A0A1D8N6J2	NaN
A0A1D8N8F2	NaN
A0A1D8N6R4	NaN
A0A1D8N619	NaN
A0A1D8NGZ5	NaN
A0A1D8NNH1	NaN
A0A1D8N552	NaN
A0A1H6Q3F0	NaN
A0A1D8NQ13	NaN
A0A1D8NJH6	NaN
A0A1D8NMZ3	NaN
A0A1D8NPB2	NaN
A0A371CBY8	NaN
Q6CCI6	NaN
A0A1D8NLW0	NaN
A0A1D8NQL8	NaN
A0A1D8N4K2	NaN
A0A1H6PZ90	NaN
A0A1D8NJI8	NaN
A0A1D8NAZ1	NaN
Q6C8R5	NaN
Q9UVF6	NaN
A0A1D8NL35	NaN
A0A1D8NLD5	NaN
A0A371CCN0	NaN
A0A1D8N3L7	NaN
A0A1D8NCF4	NaN
F2Z6B2	NaN
Q6C265	NaN
A0A371CFH8	NaN
A0A1H6Q9J6	NaN
A0A1D8NCR5	NaN
A0A1D8N715	NaN
A0A1D8N701	NaN
A0A1D8N9J5	NaN
A0A1D8NB91	NaN
A0A1D8NMY3	NaN
