xAMINOACID	Amino acid composition
xBIOMASS	Biomass production
xLIPID	Lipids pool
xMAINTENANCE	Non-growth associated maintenance (NGAM)
xPOOL_AC_EM	Acyl-CoAs pool
xPOOL_AC_LP	Acyl-CoAs pool
xPOOL_AC_MM	Acyl-CoAs pool
xPOOL_FA_EM	Fatty acids pool
xPOOL_FA_EN	Fatty acids pool
xPOOL_FA_LP	Fatty acids pool
xPOOL_FA_MI	Fatty acids pool
xPOOL_FA_MM	Fatty acids pool
y001664	bicarbonate formation
y001665	bicarbonate formation
y001667	bicarbonate formation
y001668	bicarbonate formation
y001674	carnitine-acetylcarnitine carrier
y002080	trehalose vacuolar transport
y000208_REV
y001664_REV
y001665_REV
y001667_REV
y001668_REV
xPOOL_AC_EM_REV
xPOOL_AC_LP_REV
xPOOL_AC_MM_REV
xPOOL_FA_EM_REV
xPOOL_FA_EN_REV
xPOOL_FA_LP_REV
xPOOL_FA_MI_REV
xPOOL_FA_MM_REV
y001096	(R)-mevalonate transport
y001099	2-oxoadipate and 2-oxoglutarate transport
y001100	3-hexaprenyl-4,5-dihydroxybenzoate transport
y001101	4-aminobutyrate transport
y001102	5-aminolevulinate transport
y001103	5-formyltetrahydrofolic acid transport
y001104	8-Amino-7-oxononanoate transport
y001106	acetate transport
y001107	acetic ester transport
y001108	adenine transport
y001109	adenosine transport
y001110	ADP/ATP transporter
y001111	ADP/ATP transporter
y001112	AKG transporter, mitochonrial
y001113	allantoate uniport
y001114	allantoin uniport
y001115	ammonia transport
y001116	AMP/ATP transporter
y001118	aspartate-glutamate transporter
y001119	biotin uptake
y001120	carnithine-acetylcarnithine carrier
y001121	ceramide-2' (sphinganine:n-C24:0OH) transport
y001122	ceramide-2' (sphinganine:n-C26:0OH) transport
y001123	ceramide-3 (Phytosphingosine:n-C24:0OH) transport
y001124	ceramide-3 (Phytosphingosine:n-C26:0OH) transport
y001125	choline transport
y001126	citrate transport
y001127	citrate transport
y001128	citrate transport
y001129	coenzyme A transport
y001130	CTP transport
y001131	CTP/CMP antiport
y001132	cytidine transport
y001133	cytosine transport
y001134	D-fructose transport
y001135	D-galactose transport
y001136	D-lactate transport
y001137	D-lactate transport
y001139	D-mannose transport
y001146	episterol transport
y001147	ergosterol transport
y001149	ethanolamine transport
y001151	fadH2 transport
