gene_IDs	gene_names	K_score
YALI0F05962g	YALI0F05962g	7.2380725359211
YALI0E18634g	YALI0E18634g	2.70452589207105
YALI0E09603g	YALI0E09603g	2.37481537677831
YALI0D16379g	YALI0D16379g	1.54430519994259
YALI0E16797g	YALI0E16797g	1.54430519348922
YALI0F09185g	YALI0F09185g	1.20959719780437
YALI0F16819g	YALI0F16819g	1.16844077217546
YALI0B02728g	YALI0B02728g	1.16844077217498
YALI0F17820g	YALI0F17820g	1.14998976450749
YALI0C06369g	YALI0C06369g	1.0949402299088
YALI0D12400g	YALI0D12400g	1.09494022990864
YALI0F05214g	YALI0F05214g	1.03625845926383
YALI0B20438g	YALI0B20438g	0.536708156435203
YALI0F09966g	YALI0F09966g	0.536708156434712
YALI0F06468g	YALI0F06468g	0.536708156434641
YALI0F09339g	YALI0F09339g	0.509142881891754
YALI0E20977g	YALI0E20977g	0.490224675072472
YALI0F13453g	YALI0F13453g	0.45673880706144
YALI0F23221g	YALI0F23221g	0.456738806980428
YALI0C06776g	YALI0C06776g	0.302934435547791
YALI0E14949g	YALI0E14949g	0.299210658098028
YALI0F20702g	YALI0F20702g	0.296764667603746
YALI0D23683g	YALI0D23683g	0.296764667602908
YALI0E27005g	YALI0E27005g	0.296764667602897
YALI0B09845g	YALI0B09845g	0.296764667602008
YALI0B12078g	YALI0B12078g	0.270009539651209
YALI0C16434g	YALI0C16434g	0.216981288748408
YALI0E00638g	YALI0E00638g	0.212555619741067
YALI0E05137g	YALI0E05137g	0.119900280428462
YALI0E10307g	YALI0E10307g	0.111472879970186
YALI0E16346g	YALI0E16346g	0.109488637866036
YALI0F30745g	YALI0F30745g	0.106799531275886
YALI0E29667g	YALI0E29667g	0.102421269915924
YALI0A14784g	YALI0A14784g	0.1024212699137
YALI0D11374g	YALI0D11374g	0.102421269913443
YALI0D23397g	YALI0D23397g	0.102421269908869
YALI0D20768g	YALI0D20768g	0.0703934279301667
YALI0E24013g	YALI0E24013g	0.0483039105415225
YALI0D04741g	YALI0D04741g	0.0483039105413169
YALI0E16929g	YALI0E16929g	0.0483039105411569
YALI0E33517g	YALI0E33517g	0.048303910541067
YALI0F19052g	YALI0F19052g	0.0467941495883664
YALI0F02849g	YALI0F02849g	0.0118703691654067
YALI0A09856g	YALI0A09856g	0.0118703691654014
YALI0E00242g	YALI0E00242g	0.0118703691653567
YALI0A12353g	YALI0A12353g	0
YALI0C05258g	YALI0C05258g	0
YALI0D24431g	YALI0D24431g	0
YALI0E34793g	YALI0E34793g	0
