rxn_IDs	rxnNames	K_score	grRules	rxn_formula
y000112	acetyl-CoA synthetase	7.23807253982141	YALI0F05962g	acetate[c] + ATP[c] + coenzyme A[c] + 0.0021386 prot_Q6C2Q5[c] => acetyl-CoA[c] + AMP[c] + diphosphate[c]
y000718	malic enzyme (NAD)	2.70452589202375	YALI0E18634g	(S)-malate[m] + NAD[m] + 0.14314 prot_Q6C5F0[c] => carbon dioxide[m] + NADH[m] + pyruvate[m]
y000470	glutamate dehydrogenase (NAD)	2.37481537677764	YALI0E09603g	H2O[c] + L-glutamate[c] + NAD[c] + 0.23878 prot_Q6C6H1[c] => 2-oxoglutarate[c] + ammonium[c] + H+[c] + NADH[c]
y102884	PE diacylglycerol acyltransferase	1.54430519348958	YALI0E16797g	diglyceride[erm] + phosphatidylethanolamine[erm] + 0.51315 prot_Q6C5M4[c] => 1-acylglycerophosphoethanolamine[erm] + triglyceride[erm]
y103312	lysoPE acyltransferase, lipid particle	1.54430519348958	YALI0D16379g	1-acylglycerophosphoethanolamine[lp] + acyl-CoA[lp] + 0.001666 prot_Q6C8W4[c] => phosphatidylethanolamine[lp] + coenzyme A[lp]
y000962	pyruvate kinase	1.20959719780446	YALI0F09185g	ADP[c] + H+[c] + phosphoenolpyruvate[c] + 0.06785 prot_P30614[c] => ATP[c] + pyruvate[c]
y000366	enolase	1.16844077217527	YALI0F16819g	2-phospho-D-glyceric acid[c] + 0.057133 prot_Q6C1F3[c] => H2O[c] + phosphoenolpyruvate[c]
y000893	phosphoglycerate mutase	1.16844077217527	YALI0B02728g	3-phosphoglycerate[c] + 0.014444 prot_Q6CFX7[c] => 2-phospho-D-glyceric acid[c]
y000471	glutamate dehydrogenase (NADP)	1.14998976459138	YALI0F17820g	2-oxoglutarate[c] + ammonium[c] + H+[c] + NADPH[c] + 0.00048387 prot_Q6C1A9[c] => H2O[c] + L-glutamate[c] + NADP(+)[c]
y000486	glyceraldehyde-3-phosphate dehydrogenase	1.09494022990824	YALI0C06369g	glyceraldehyde 3-phosphate[c] + NAD[c] + phosphate[c] + 0.071732 prot_Q6CCU7[c] => 1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c]
y000892	phosphoglycerate kinase	1.09494022990824	YALI0D12400g	1,3-bisphospho-D-glycerate[c] + ADP[c] + 0.012913 prot_P29407[c] => 3-phosphoglycerate[c] + ATP[c]
y001054	triose-phosphate isomerase	1.03625845926535	YALI0F05214g	dihydroxyacetone phosphate[c] + 0.014894 prot_Q6C2T9[c] => glyceraldehyde 3-phosphate[c]
y000528	guanylate kinase	0.64947286910257	YALI0C16434g	ATP[c] + GMP[c] + 0.01466 prot_Q6CBQ9[c] => ADP[c] + GDP[c]
y001063	tyrosine transaminase	0.649472869102569	YALI0E20977g	3-(4-hydroxyphenyl)pyruvate[c] + L-glutamate[c] + 0.073979 prot_Q6C551[c] => 2-oxoglutarate[c] + L-tyrosine[c]
y001729_REV	deoxyadenylate kinase (reversible)	0.649472869102569	YALI0F09339g	ADP[c] + dADP[c] + 2.8637 prot_Q6C2B0[c] => ATP[c] + dAMP[c]
y000018_EXP_2	2-aminoadipate transaminase	0.649472869102569	YALI0E20977g	2-oxoadipic acid[c] + L-glutamate[c] + 0.073979 prot_Q6C551[c] => 2-oxoglutarate[c] + L-2-aminoadipate[c]
