FCCs;kcat;rxns;rxnNames;enzymes
8.19001068;42.93;y000354_EXP_1;dihydroxyacetone kinase;Q6C564
4.03732001;0.1646;y000361;dolichyl-phosphate D-mannosyltransferase;Q6CA34
3.373947854;0.002052;y000251;cardiolipin synthase;Q6C0K8
3.294650539;7.3495;y000005_EXP_1;1,3-beta-glucan synthase;Q6CDD3
2.892304611;0.6653;y000760;N-acetylglucosamine-6-phosphate synthase;Q6C8F2
2.859125691;4.9;y000449;fructose-bisphosphatase;Q6CGV1
2.59911354;60;y000958;pyruvate carboxylase;Q6CAV2
2.422246658;0.1276;y000233;C-22 sterol desaturase (NADP);Q6CGM4
2.355115256;0.98;y000669;ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate);Q6CAF8
2.099962235;2.1586;y000727;methionine synthase;Q6C638
2.056759445;3.81;y000096;acetohydroxy acid isomeroreductase;Q6CAF8
2.001712492;130.5365;y000470;glutamate dehydrogenase (NAD);Q6C6H1
1.816867179;9.1673;y000725_EXP_2;methenyltetrahydrofolate cyclohydrolase;Q6BZU8
1.693390471;3.0123;y000914;phosphoribosylglycinamidine synthetase;Q99148
1.497682308;2.6884;y001838;homocitrate synthase;Q12726
1.491193606;3.5855;y000759;N-acetyl-g-glutamyl-phosphate reductase;Q6CE87
1.431593162;4.0563;y000882;phosphoacetylglucosamine mutase;Q6C454
1.430750378;10.0041;y002141;fatty-acyl-CoA synthase (n-C18:0CoA);P34229, Q6CE16
1.388013631;12.7157;y000891;phosphoglycerate dehydrogenase;Q6C284
1.38577365;2.6752;y200001;glycinamide ribonucleotide transformylase;Q6CDK7
1.277758819;138.7067;y000486;glyceraldehyde-3-phosphate dehydrogenase;Q6CCU7
1.271068226;4.97;y000912;phosphoribosylaminoimidazolecarboxamide formyltransferase;Q6C7Y2
1.179382572;7.3975;y000023_REV;2-isopropylmalate hydratase (reversible);Q6CG29
1.16848685;3.1427;y000915;phosphoribosylpyrophosphate amidotransferase;Q6CEI8
1.143529656;10.3384;y000916_EXP_1;phosphoribosylpyrophosphate synthetase;Q6CG51, Q6C3T1
1.08906998;11.9656;y000918;phosphoserine transaminase;Q6C2N1
1.080714842;232;y000962;pyruvate kinase;P30614
1.067217697;14.2949;y000450_REV;fructose-bisphosphate aldolase (reversible);Q6C4K5
1.051045778;10.3331;y000352;dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate);Q6CAY2
1.003429184;3.4713;y000080_EXP_1;5,10-methylenetetrahydrofolate reductase (NADPH);Q6CG63
0.963155367;0.1978;y000241;C-4 sterol methyl oxidase (4,4-dimethylzymosterol);Q6C231
0.954889764;2.2071;y000908;phosphoribosyl amino imidazolesuccinocarbozamide synthetase;Q6C3Q2
0.953426847;230;y000366;enolase;Q6C1F3
0.875880957;7.2183;y000219;aspartate-semialdehyde dehydrogenase;Q6C968
0.86995952;34.7893;y000303_EXP_2;citrate to cis-aconitate(3-), cytoplasmic;Q6C5V2
0.86995952;34.7893;y000302_EXP_2;citrate to cis-aconitate(3-);Q6C5V2
0.818470826;7.9985;y000888;phosphoglucomutase;Q6C7B8
0.816328221;2.0959;y002183;stearoyl-CoA desaturase (n-C18:0CoA - n-C18:1CoA), ER membrane;Q6CCW6
0.781614976;0.3031;y000242;C-5 sterol desaturase;Q6C8C2
0.760383108;23.2406;y000040;3-dehydroquinate synthase;Q6C1X5
0.748541524;2.46;y000565;IMP dehydrogenase;Q6C897
0.73455918;8.6;y000570;inosine monophosphate cyclohydrolase;Q6C7Y2
0.72871429;7;y000855;phopshoribosylaminoimidazole synthetase;Q99148
0.727733604;4.7733;y000558;hydroxymethylglutaryl CoA reductase;Q6C704
0.720747257;4.1162;y000207;argininosuccinate lyase;Q6C7P9
0.694373318;7.7;y000115;acetylglutamate kinase;Q6CE87
0.689297834;12.524;y000079;5'-phosphoribosylformyl glycinamidine synthetase;Q6BZY1
0.684006699;2.2858;y000538;histidinol-phosphate transaminase;Q6C7F4
0.669774754;8.2855;y000731;methylenetetrahydrofolate dehydrogenase (NAD);Q6CEX7
0.661185757;530;y000216_EXP_2;aspartate transaminase;Q6BZZ9
0.640535435;7.4629;y000362_EXP_2;dolichyl-phosphate-mannose--protein mannosyltransferase;Q6CAV8, Q6C9Y4
0.6394333;9.592;y000027;homoaconitase;Q6C791
0.609695791;0.4689;y001011;squalene epoxidase (NADP);Q6C5R8
0.568139395;7.1083;y000989;saccharopine dehydrogenase (NADP, L-glutamate forming);Q6C844
0.564842766;5.5;y000153;adenylosuccinate synthase;Q6C482
0.563186986;10.8906;y000542;homoacontinate hydratase;Q6C791
